ID,Text_ro,Text_rom,ro,rmy
,,,"Celui ce va birui şi celui ce va păzi pînă la sfîrşit lucrările Mele, îi voi da stăpînire peste Neamuri.","Ka kodo kai si les putiera ai niril ai te kerel so mangav lestar zhi ando gor, me dava les e putiera pe sa le thema."
,,,El se uita de jur împrejur să vadă pe cea care făcuse lucrul acesta.,O Jesus amboldiape ai dikhlia pe late kai azbadia leske tsalia.
,,,"Drept răspuns, El le -a zis: ,,Dar voi de ce călcaţi porunca lui Dumnezeu în folosul datinei voastre?","O Jesus phendia lenge, ""Ai tume sostar phagen o zakono le Devlesko, te keren tumaro zakono?"
,,,"Da, frate, fă-mi binele acesta în Domnul, şi înviorează-mi inima în Hristos!","E, phrala, mangav ma tutar, ker mange kado mishtimos ande dragostia le Kristoski. Raduisar murho ilo, sar iek phral ando Jesus Kristo!"
,,,"Cînd S'a coborît Isus de pe munte, multe noroade au mers după El.","Kana O Jesus avilo tele pai plaiing, but narodo lias pe pala leste."
,,,"Din nou, Fariseii l-au întrebat şi ei cum şi -a căpătat vederea. Şi el le -a zis: ,,Mi -a pus tină pe ochi, m'am spălat, şi văd.``","Sa anda kodia le Farizeanuria phushle le korhes, ""Sar premisardian cho dikhimos?"" Ai wo phendia lenge, ""Thodia chik pe murhe iakha, xaladem ma, ai akana dikhav."""
,,,"Îngerului Bisericii din Efes scrie -i: ,,Iată ce zice Cel ce ţine cele şapte stele în mîna dreaptă, şi Cel ce umblă prin mijlocul celor şapte sfeşnice de aur:","Ramos ka o angelo (pasturi) la khangeriako ando foro sar bushol Efisia: ""Kodo kai inkerel le efta chererhaia ando lesko chacho vas, ai kodo kai phirel mashkar le efta lampuria kerde anda sumnakai, phenel kadala vorbi:"
,,,"Vegheaţi şi rugaţi-vă, ca să nu cădeţi în ispită; duhul este plin de rîvnă, dar trupul este neputincios.``","Le sama ai rhugis tu, te na peres ando zumaimos. O duxo mangel, numa o stato kovlo."""
,,,"Dacă este cineva fără prihană, bărbat al unei singure neveste, avînd copii credincioşi, cari să nu fie învinuiţi de destrăbălare sau neascultare.","Ek manush kai del duma pa Del trobul te avel ek manush kai nai dosh pe leste; ai trobul te avel o rhom ieka rhomniako, ai leske shave trobul te pachanpe ando Del, ai na te mothon le manush ke bi malades traiin vai ke chi pachan o mui."
,,,"Iar noi, după zilele praznicului Azimilor, am plecat cu corabia din Filipi, şi, în cinci zile, am ajuns la ei în Troa, unde am stat şapte zile.","Ame liam o paraxodo andai Philippi kana getosaile E Patradi, ai panzh dies pala kodia aresliam lende ando Troas, ai kotse beshliam iek kurko."
