ID,ro,rmy,source,len_ro,len_rmy,ratio
Acts_1_1,"Teofile, în cea dintâi carte a mea, am vorbit despre tot ce a început Isus să facă şi să înveţe pe oameni,","Teofilona, and‑o jekhto lil xramosardem pa sǎ so astardǎs o Isus te kerel haj te siklǎrel ⌞le manuśen⌟,",custom,22,18,0.8181818181818182
Acts_1_2,"de la început până în ziua în care S-a înălţat la cer, după ce, prin Duhul Sfânt, dăduse poruncile Sale apostolilor pe care-i alesese.",ʒi and‑o ges kana sas lino k‑o ćeri. Le Somnale Duhosqe zorǎça dinǎs maj anglal porunke le apostolenqe saven alosardǎs len.,custom,24,21,0.875
Acts_1_3,"După patima Lui, li S-a înfăţişat viu, prin multe dovezi, arătându-li-Se deseori timp de patruzeci de zile şi vorbind cu ei despre lucrurile privitoare la Împărăţia lui Dumnezeu.","Vov cïrdinǎsas but dukha haj mulosas, haj pala kodoja sikavdǎs butvar bute bukǎnça kerde Lesθar, ke si ʒivdo. Ande kola saranda gesa Vov sikavdilǎs lenqe butvar haj delas duma lença pala o le Devlesqo.",custom,28,34,1.2142857142857142
Acts_1_4,"Pe când Se afla cu ei, le-a poruncit să nu se depărteze de Ierusalim, ci să aştepte acolo făgăduinţa Tatălui, „pe care ”, le-a zis El, „aţi auzit-o de la Mine.","Jekhvar, kana xanas von khethanes, phendǎs lenqe: — Te na durǎren tumen katar o Jerusalim, ama te aźukeren kathe ʒi kana kerel pes so phendǎsas o Dad, sar aśunden Manθar.",custom,31,30,0.967741935483871
Acts_1_5,"Căci Ioan a botezat cu apă, dar voi, nu după multe zile, veţi fi botezaţi cu Duhul Sfânt.”","Ke o Joan boldǎs and‑o pani, ama tume, na pala but gesa, avena bolde and‑o Somnal Duho.",custom,18,17,0.9444444444444444
Acts_1_6,"Deci apostolii, pe când erau strânşi laolaltă, L-au întrebat: „Doamne, în vremea aceasta ai de gând să aşezi din nou Împărăţia lui Israel?”","Kadja ke, and‑jekh ges kana von sas kidine khethanes, pućhle Les: — Raja, akana anesa palè o Thagaripen and‑o Israel sar kaj sas maj anglal?",custom,23,25,1.0869565217391304
Acts_1_7,El le-a răspuns: „Nu este treaba voastră să ştiţi vremurile sau soroacele; pe acestea Tatăl le-a păstrat sub stăpânirea Sa.,Vov dinǎs lenqe anglal: — Numaj le Dades si Les zor te daśtil te phenel kana si o ges vaj o ćaso kana kerena pen kadala bukǎ. Tume na trebul te ʒanen len.,custom,20,33,1.65
Acts_1_8,"Ci voi veţi primi o putere, când Se va coborî Duhul Sfânt peste voi, şi-Mi veţi fi martori în Ierusalim, în toată Iudeea, în Samaria şi până la marginile pământului.”","Ama primina zor kana xulǒla o Somnal Duho opral tumenθe haj ovena Mirre martorǎ and‑o Jerusalim, ande savorri Judea, and‑e reʒiunǎ Samaria haj ʒi k‑o gor la phuvǎqo.",custom,30,28,0.9333333333333333
Acts_1_9,"După ce a spus aceste lucruri, pe când se uitau ei la El, S-a înălţat la cer, şi un nor L-a ascuns din ochii lor.","Pala so phendǎs kadala, kana ol ućenićǎ dikhenas Lesθe, o Isus sas lino ⌞k‑o ćeri⌟ haj jekh noro garavdǎs Les lenqe jakhenθar.",custom,25,22,0.88
Acts_1_10,"Şi cum stăteau ei cu ochii pironiţi spre cer pe când Se suia El, iată că li s-au arătat doi bărbaţi îmbrăcaţi în alb","Haj sar dikhenas von vorta k‑o ćeri, haj Vov vazdelas Pes, dikh ke sikavde pen lenqe duj murśa ande parne gada.",custom,24,21,0.875
Acts_1_11,"şi au zis: „Bărbaţi galileeni, de ce staţi şi vă uitaţi spre cer? Acest Isus care S-a înălţat la cer din mijlocul vostru va veni în acelaşi fel cum L-aţi văzut mergând la cer.”","Von phende: — Murśalen andar e Galilea, sosqe beśen dikhindoj k‑o ćeri? O Isus kaj sas lino tumenθar k‑o ćeri, avela palpale sa kadja sar dikhlen Les ke ʒal k‑o ćeri. O Matia si alosardo and‑o than le Judasqo o Iskariotǎno",custom,34,41,1.2058823529411764
Acts_1_12,"Atunci, ei s-au întors în Ierusalim din muntele numit al Măslinilor, care este lângă Ierusalim, departe cât un drum în ziua Sabatului.","Atunći, ol ućenićǎ boldine pen and‑e ćetatǎ Jerusalim katar o kaj bućhol o plaj le Mäslinenqo, kaj si paśal o Jerusalim, kam sode sas slobodo te ʒan ol judea and‑o ges le Sabatosqo.",custom,22,33,1.5
Acts_1_13,"Când au ajuns acasă, s-au suit în odaia de sus, unde stăteau de obicei. Erau Petru, Iacov, Ioan, Andrei, Filip, Toma, Bartolomeu, Matei, Iacov, fiul lui Alfeu, Simon Zelotul şi Iuda, fiul lui Iacov.","Kana aresle, gele opre and‑e kamera e oprutni, kaj beśenas von. Sas ⌞kothe⌟: o , o Jakov, o Joan thaj o Andrej, o Filip thaj o Toma, o Bartolomej thaj o Matej, o Jakov, o ćhavo le Alfejosqo, o Simon o Zeloto thaj o Juda, o ćhavo le Jakovosqo.",custom,34,49,1.4411764705882353
Acts_1_14,"Toţi aceştia stăruiau cu un cuget în rugăciune şi în cereri, împreună cu femeile şi cu Maria, mama lui Isus, şi cu fraţii Lui.","Savorre kadala ruginas pen savorri vremǎ sar jekh, khethanes le ʒuvlǎnça, la Mariaça, e daj le Isusosqi haj Lesqe .",custom,24,20,0.8333333333333334
Acts_1_15,"În zilele acelea, Petru s-a sculat în mijlocul fraţilor – numărul celor adunaţi laolaltă era de aproape o sută douăzeci – şi a zis:","Ande kodola gesa, kana sas kidine khethanes ol phrala haj ol phenǎ, paśe de jekh śel haj biś manuśa, o Petru uśtilǎs thaj phendǎs: —",custom,24,25,1.0416666666666667
Acts_1_16,"„Fraţilor, trebuia să se împlinească Scriptura spusă de Duhul Sfânt mai înainte, prin gura lui David, despre Iuda, care a fost călăuza celor ce au prins pe Isus.","Phralalen haj phenǎlen, sas te kerel pes so phendǎs maj anglal o Somnal Duho pand‑o David, and‑e Skriptura, pala o Juda, savo sikavdǎs kaj si o Isus kodolenqe kaj astarde Les.",custom,28,31,1.1071428571428572
Acts_1_17,El era din numărul nostru şi era părtaş al aceleiaşi slujbe.,"O Juda sas andar amenθe, haj sas les sa kodoja sluźirǎ sar amari.",custom,11,13,1.1818181818181819
Acts_1_18,"Omul acesta a dobândit un ogor cu plata nelegiuirii lui, a căzut cu capul în jos, a plesnit în două prin mijloc şi i s-au vărsat toate măruntaiele.","Vov kindǎs jekh than le lovença kaj lilǎs len pesqe bićaćimaça. Pelǎs tele, lesqo per pharavdilo haj savorre porrǎ ćhordile andar lesθe.",custom,28,22,0.7857142857142857
Acts_1_19,"Lucrul acesta a ajuns aşa de cunoscut de toţi locuitorii din Ierusalim, încât ogorul acela a fost numit în limba lor: „Acheldama”, adică: „Ogorul sângelui”.","⌞Kadaja buki⌟ aresli kadja de prinʒardi savorre manuśenqe kaj beśen and‑o Jerusalim, ke kadale thanesqe thode lesqe o anav « Hakeldamah » ande penqi ćhib, kaj si: «O than le ratesqo».",custom,25,31,1.24
Acts_1_20,"În adevăr, în cartea Psalmilor este scris: ‘Locuinţa lui să rămână pustie şi nimeni să nu locuiască în ea!’ şi ‘Slujba lui s-o ia altul!’",And‑o lil le Psalmenqo si xramosardo: Te aćhel lesqo kher haj khonik te na beśel ande lesθe! haj Aver manuś te lel lesqo than k‑i sluźirǎ!,custom,25,26,1.04
Acts_1_21,"Trebuie deci ca, dintre cei ce ne-au însoţit în toată vremea în care a trăit Domnul Isus între noi,","Si murśa kaj sas amença savorri vremǎ sode phirdǎs o Raj o Isus amença,",custom,19,14,0.7368421052631579
Acts_1_22,"cu începere de la botezul lui Ioan până în ziua când S-a înălţat El de la noi, să fie rânduit unul care să ne însoţească drept martor al învierii Lui.”","de kana o Joan boldǎs Les, ʒi and‑o ges kana sas lino k‑o ćeri katar amenθe. Vaś kodoja, jekh andar kadala murśa si te avel martori ⌞and‑o than le Judasqo⌟, khethanes amença, ke o Isus ʒivdilǎs andar ol mule.",custom,30,39,1.3
Acts_1_23,"Ei au pus înainte pe doi: pe Iosif, numit Barsaba, zis şi Iust, şi pe Matia.","Von thode anglal duje ⌞murśen⌟: le Josifos, kaj bućholas Barsaba, haj phenenas lesqe vi Just, haj le Matias.",custom,16,18,1.125
Acts_1_24,"Apoi au făcut următoarea rugăciune: „Doamne, Tu, care cunoşti inimile tuturor oamenilor, arată-ne pe care din aceşti doi l-ai ales,","Haj von ⌞savorre⌟ rugisarde pen haj phende: — Raja, Tu, kaj prinʒares ol ile savorre manuśenqe, sikav amenqe saves andar kadala duj alosardǎn les",custom,20,24,1.2
Acts_1_25,"ca să ia loc în slujba şi apostolia aceasta, din care a căzut Iuda, ca să meargă la locul lui.”","te sluźil sar apostolo and‑o than le Judasqo. Ke o Juda mukhlǎs rigaθe kadaja buki, kaś te ʒal kaj meritisardǎs te avel.",custom,20,22,1.1
Acts_1_26,"Au tras la sorţi, şi sorţul a căzut pe Matia, care a fost numărat împreună cu cei unsprezece apostoli.","Cirdine te dikhen kon perel haj inklistǎs o Matia, haj sas alosardo apostolo paś‑ol deśujekh apostolǎ.",custom,19,16,0.8421052631578947
Acts_2_1,"În Ziua Cincizecimii, erau toţi împreună în acelaşi loc.","Kana avilǎs o baro ges le , savorre ⌞pakǎvne and‑o Isus⌟ sas kidine and‑jekh than.",custom,9,15,1.6666666666666667
Acts_2_2,"Deodată, a venit din cer un sunet ca vâjâitul unui vânt puternic şi a umplut toată casa unde şedeau ei.",Andar jekhvar avilǎs andar o ćeri jekh suneto sar kana e balval phurdel zorales haj pherdǎs savorro kher kaj sas von.,custom,20,21,1.05
Acts_2_3,Nişte limbi ca de foc au fost văzute împărţindu-se printre ei şi s-au aşezat câte una pe fiecare din ei.,"Niśte pare jagaqe sar niśte ćhibǎ sikavdile lenqe, haj sakon para thodǎs pes pe fiesavesθe andar lenθe.",custom,20,17,0.85
Acts_2_4,"Şi toţi s-au umplut de Duh Sfânt şi au început să vorbească în alte limbi, după cum le dădea Duhul să vorbească.","Haj savorre pherdile Somnale Duhoça, haj astarde te den duma ande aver ćhibǎ, pala sar o Duho kerelas len te den duma.",custom,22,22,1.0
Acts_2_5,"Şi se aflau atunci în Ierusalim iudei, oameni cucernici din toate neamurile care sunt sub cer.","Haj and‑o Jerusalim beśenas atunći , save sas manuśa devlikane andar savorre thana save si tal‑o ćeri.",custom,16,17,1.0625
Acts_2_6,"Când s-a auzit sunetul acela, mulţimea s-a adunat şi a rămas încremenită, pentru că fiecare îi auzea vorbind în limba lui.","Kana aśundilǎs kodova suneto, ol but manuśa kidine pen haj na ʒangle so te pakǎn kadale bukǎθar, vaś ke fiesavo aśunelas len ke denas duma ande lesqi ćhib.",custom,21,28,1.3333333333333333
Acts_2_7,"Toţi se mirau, se minunau şi ziceau unii către alţii: „Toţi aceştia care vorbesc nu sunt galileeni?","Savorre aćhile putarde mujeça, na avelas lenqe te pakǎn, haj phenenas jekh avresqe: — Savorre kadala, save den duma, si andar e reʒiunǎ Galilea!",custom,17,24,1.411764705882353
Acts_2_8,"Cum dar îi auzim vorbind fiecăruia din noi în limba noastră, în care ne-am născut?",Atunći sar aśunel len fiesavo andar amenθe ke den duma ande amare ćhibǎ kheral?,custom,15,14,0.9333333333333333
Acts_2_10,"Frigia, Pamfilia, Egipt, părţile Libiei dinspre Cirene, oaspeţi din Roma, iudei sau prozeliţi,","and‑ol reʒiune Friʒia haj Pamfilia, and‑o Eʒipt haj and‑ol riga la reʒiunǎqi Libia de karing e ćetatǎ Ćirena, haj manuśa andar e ćetatǎ Roma,",custom,13,24,1.8461538461538463
Acts_2_11,"cretani şi arabi, îi auzim vorbind în limbile noastre lucrurile minunate ale lui Dumnezeu!”","judea vaj manuśa kaj kerde pen judea, kretanǎ thaj arabǎ, ame savorre aśunas len ke den duma ande amare ćhibǎ pa ol bare bukǎ le Devlesqe!",custom,14,26,1.8571428571428572
Acts_2_12,"Toţi erau uimiţi, nu ştiau ce să creadă şi ziceau unii către alţii: „Ce vrea să zică aceasta?”","Savorre aćhile putarde mujeça, na ʒanenas so te pakǎn haj phenenas jekh avresqe: — So kamel te avel kadaja?",custom,18,19,1.0555555555555556
Acts_2_14,"Atunci, Petru s-a sculat în picioare cu cei unsprezece, a ridicat glasul şi le-a zis: „Bărbaţi iudei şi voi toţi cei care locuiţi în Ierusalim, să ştiţi lucrul acesta şi ascultaţi cuvintele mele!","Atunći o vazdinǎs pes le deśujekhença, haj phendǎs lenqe, le manuśenqe, dindoj duma zorales: — Phralalen haj tume savorre kaj beśen and‑o Jerusalim, te ʒanen kadaja buki, haj aśunen miśto mirre dume!",custom,33,32,0.9696969696969697
Acts_2_15,"Oamenii aceştia nu sunt beţi, cum vă închipuiţi voi, căci nu este decât al treilea ceas din zi.","Ol manuśa kadala na‑i mate, sar pakǎn tume, vaś ke si numaj enǎ de texara.",custom,18,15,0.8333333333333334
Acts_2_16,Ci aceasta este ce a fost spus prin prorocul Ioel:,Ama kadaja si so phendilǎs pand‑o prooroko Joel:,custom,10,8,0.8
Acts_2_17,"‘În zilele de pe urmă’, zice Dumnezeu, ‘voi turna din Duhul Meu peste orice făptură; feciorii voştri şi fetele voastre vor proroci, tinerii voştri vor avea vedenii şi bătrânii voştri vor visa visuri!","« Kadja avela and‑ol , phenel o Del, Ćhorava Mirre Duhos opral sakon manuś. Tumare ćhave haj tumare ćhaja prooroćina, tumare ternen avela len dikhlimata, haj tumare phuren avela len sune.",custom,33,31,0.9393939393939394
Acts_2_18,"Da, chiar şi peste robii Mei şi peste roabele Mele voi turna, în zilele acelea, din Duhul Meu şi vor proroci.","Va, opral Mirre robǎ, murśa haj ʒuvlǎ, ande kola gesa ćhorava Mirre Duhos haj von prooroćina.",custom,21,16,0.7619047619047619
Acts_2_19,"Voi face să se arate semne sus în cer şi minuni jos pe pământ, sânge, foc şi un vârtej de fum;","Sikavava bare bukǎ opre p‑o ćeri haj kerava semnurǎ tele p‑i phuv: rat, jag haj but thuv.",custom,21,17,0.8095238095238095
Acts_2_20,"soarele se va preface în întuneric, şi luna, în sânge înainte ca să vină ziua Domnului, ziua aceea mare şi strălucită.","O kham kerdǒla kalo sar o tunǎriko, haj o ćhonut lolo sar o rat, anglal te avel le Rajesqo ges savo si baro haj pherdo slava.",custom,21,26,1.2380952380952381
Acts_2_21,"Atunci, oricine va chema Numele Domnului va fi mântuit.’","Atunći orkon le Rajes p‑o Anav, avela . »",custom,9,9,1.0
Acts_2_22,"Bărbaţi israeliţi, ascultaţi cuvintele acestea! Pe Isus din Nazaret, om adeverit de Dumnezeu înaintea voastră prin minunile, semnele şi lucrările pline de putere pe care le-a făcut Dumnezeu prin El în mijlocul vostru, după cum bine ştiţi,","Phralalen israeliturǎ, aśunen kadala dume! Pand‑o Isus andar o Nazaret o Del kerdǎs zorale bukǎ haj bare semnurǎ maśkar tumenθe, sar tume ʒanen miśto. Kadja o Del sikavdǎs tumenqe ke Vov bićhaldǎs Les.",custom,37,33,0.8918918918918919
Acts_2_23,"pe Omul acesta, dat în mâinile voastre după sfatul hotărât şi după ştiinţa mai dinainte a lui Dumnezeu, voi L-aţi răstignit şi L-aţi omorât prin mâna celor fărădelege.",Kadava Isus sas predome tumenqe kadja sar o Del kerdǎs plano haj ʒanglǎs de anglal. Haj tume kerden le nejudeen te maren Les karfença p‑o truśul haj mudarden Les.,custom,28,29,1.0357142857142858
Acts_2_24,"Dar Dumnezeu L-a înviat, dezlegându-I legăturile morţii, pentru că nu era cu putinţă să fie ţinut de ea.","Les o Del ʒivdǎrdǎs Les, pala so inkalavdǎs Les andar o meripen, vaś ke o meripen na aśtilas te inkerel Les.",custom,18,21,1.1666666666666667
Acts_2_25,"Căci David zice despre El:‘Eu aveam totdeauna pe Domnul înaintea mea, pentru că El este la dreapta mea, ca să nu mă clatin.","Vaś kadaja o David phenel pa Lesθe: «Savorri vremǎ dikhavas le Rajes angla manθe, vaś ke Vov si paśa manθe kaś te na traśav.",custom,23,24,1.0434782608695652
Acts_2_26,"De aceea, mi se bucură inima şi mi se veseleşte limba; chiar şi trupul mi se va odihni în nădejde,","Vaś kadaja lośajlǎs mirro ilo, dinem trat lośalo haj aćhola man speranca ke mirro trupo ʒivdǒla,",custom,20,16,0.8
Acts_2_27,căci nu-mi vei lăsa sufletul în Locuinţa morţilor şi nu vei îngădui ca Sfântul Tău să vadă putrezirea.,"vaś ke na mekhesa man and‑o than kaj beśen ol mule, na mekhesa Kire sfïntos te kernǒl.",custom,18,17,0.9444444444444444
Acts_2_28,Mi-ai făcut cunoscute căile vieţii şi mă vei umple de bucurie cu starea Ta de faţă.’,Kerdǎn manqe prinʒardo o drom karing o ʒivipen haj keresa man te lośarav man vaś ke Tu san paśa manθe.»,custom,16,20,1.25
Acts_2_29,"Cât despre patriarhul David, să-mi fie îngăduit, fraţilor, să vă spun fără sfială că a murit şi a fost îngropat, şi mormântul lui este în mijlocul nostru până în ziua de azi.",", kamav te anav tumare gogǎθe so ʒanglǒl aba pa amaro phuro dad o David, ke mulǎs haj sas praxome, haj lesqo praxomasqo than si maśkar amenθe ʒi ages.",custom,32,29,0.90625
Acts_2_30,"Fiindcă David era proroc şi ştia că Dumnezeu îi făgăduise cu jurământ că va ridica pe unul din urmaşii săi pe scaunul lui de domnie,","O David sas prooroko, vov ʒanglǎs ke o Del xalǎs sovli te thol pe lesqo thagarikano skamin jekhe ćhaves kaj biandǒla lesθar",custom,25,22,0.88
Acts_2_31,"despre învierea lui Hristos a prorocit şi a vorbit el, când a zis că sufletul lui nu va fi lăsat în Locuinţa morţilor şi trupul lui nu va vedea putrezirea.","haj dikhlǎs de anglal ke o avela ʒivdǎrdo. Pa kadalaθe dinǎs duma o David kana phendǎs ke n‑as mekhlo te beśel and‑o than kaj beśen ol mule, haj lesqo trupo na kernilǎs .",custom,30,33,1.1
Acts_2_32,"Dumnezeu a înviat pe acest Isus, şi noi toţi suntem martori ai Lui.","Le Isusos o Del ʒivdǎrdǎs Les, haj ame savorre sam martorǎ ke kadja sas.",custom,13,14,1.0769230769230769
Acts_2_33,"Şi acum, odată ce S-a înălţat prin dreapta lui Dumnezeu şi a primit de la Tatăl făgăduinţa Duhului Sfânt, a turnat ce vedeţi şi auziţi.","Vov sas vazdino k‑e ćaći rig le Devlesqi haj primisardǎs katar o Dad le Somnale Duhos sar phendǎsas o Del maj anglal. Ćhordǎs Les pe amenθe, kadja sar dikhen haj aśunen.",custom,25,31,1.24
Acts_2_34,"Căci David nu s-a suit în ceruri, ci el singur zice: ‘Domnul a zis Domnului meu: «Şezi la dreapta Mea","Ama o David na gelǎs opre and‑o ćeri, kadja ke na pa pesθe phendǎs: « O Raj o Del phendǎs mirre Rajesqe: ‘Beś ke Mirri ćaći rig",custom,20,27,1.35
Acts_2_35,până ce voi pune pe vrăjmaşii Tăi sub picioarele Tale.»’,haj thava Kire duśmanen tala Kire punre!’ »,custom,10,8,0.8
Acts_2_36,"Să ştie bine dar, toată casa lui Israel, că Dumnezeu a făcut Domn şi Hristos pe acest Isus pe care L-aţi răstignit voi.”","Vaś kodoja, te ʒanel miśto savorro Israelo ke le Isusos, saves tume marde Les karfença p‑o truśul, o Del kerdǎs Les Raj thaj Hristos.",custom,23,24,1.0434782608695652
Acts_2_37,"După ce au auzit aceste cuvinte, ei au rămas străpunşi în inimă şi au zis lui Petru şi celorlalţi apostoli: „Fraţilor, ce să facem?”","Kana aśunde von kadala dume, simcinas pen dośale haj tristome. Kadala dume ćhinde and‑ol ile le manuśenqe thaj von phende le Petrosqe haj okolavre apostolenqe: — Phralalen, so te keras?",custom,24,30,1.25
Acts_2_38,"„Pocăiţi-vă”, le-a zis Petru, „şi fiecare din voi să fie botezat în Numele lui Isus Hristos, spre iertarea păcatelor voastre; apoi veţi primi darul Sfântului Duh.","O Petru dinǎs lenqe anglal: — Bolden tumen k‑o Del haj sakon andar tumenθe te avel boldo and‑o Anav le Isusosqo Hristos, kaś te aven jertime tumare ! Atunći primina sar daro le Somnale Duhos.",custom,26,35,1.3461538461538463
Acts_2_39,"Căci făgăduinţa aceasta este pentru voi, pentru copiii voştri şi pentru toţi cei ce sunt departe acum, în oricât de mare număr îi va chema Domnul Dumnezeul nostru.”","Vaś ke o Del phendǎs ke tumenqe del Les, tumenqe, tumare ćhavenqe, kolenqe kaj beśen dur kathar, thaj orkasqe saves akharela les o Raj, amaro Del.",custom,28,26,0.9285714285714286
Acts_2_40,"Şi, cu multe alte cuvinte, mărturisea, îi îndemna şi zicea: „Mântuiţi-vă din mijlocul acestui neam ticălos.”",Haj bute avre dumença rugilas len andar savorro ilo: — Xastraven tumen le krisinimasθar kaj avela opral kadale ʒungale manuśenθe save trajin akana!,custom,16,23,1.4375
Acts_2_41,"Cei ce au primit propovăduirea lui au fost botezaţi; şi în ziua aceea, la numărul ucenicilor s-au adăugat aproape trei mii de suflete.","Kodola kaj pakǎjle so phendǎs vov, sas bolde, haj ande kodova ges thodile paśa lenθe fo trin mie manuśa. Sar ʒivenas haj so kerenas ol anglune kreśtinǎ",custom,23,27,1.173913043478261
Acts_2_42,"Ei stăruiau în învăţătura apostolilor, în legătura frăţească, în frângerea pâinii şi în rugăciuni.","Sǎ e vremǎ ol pakǎvne siklǒnas katar ol apostolǎ, sas khethanes sar jekh, phagenas o manro maśkar penθe haj rugisarenas pen.",custom,14,21,1.5
Acts_2_43,"Fiecare era plin de frică, şi prin apostoli se făceau multe minuni şi semne.",O Del kerelas pand‑ol apostolǎ but bare bukǎ haj semnurǎ. Haj sakon manuś darajlǎs.,custom,14,14,1.0
Acts_2_44,Toţi cei ce credeau erau împreună la un loc şi aveau toate de obşte.,Savorre save pakǎnas kidenas pen and‑jekh than haj sǎ so sas len sas len khethanes.,custom,14,15,1.0714285714285714
Acts_2_45,"Îşi vindeau ogoarele şi averile, şi banii îi împărţeau între toţi, după nevoile fiecăruia.",Bikinenas penqe phuvǎ haj aver bukǎ kaj sas len haj denas ol love pala sar trebulas sakones.,custom,14,17,1.2142857142857142
Acts_2_46,"Toţi împreună erau nelipsiţi de la Templu în fiecare zi, frângeau pâinea acasă şi luau hrana cu bucurie şi curăţie de inimă.","Ande fiesavo ges arakhenas pen savorre khethanes k‑o Templo, phagenas o manro khere penθe haj xanas lośale haj uźe ileça.",custom,22,20,0.9090909090909091
Acts_2_47,Ei lăudau pe Dumnezeu şi erau plăcuţi înaintea întregului norod. Şi Domnul adăuga în fiecare zi la numărul lor pe cei ce erau mântuiţi.,Aśarenas le Devles haj savorre manuśa dikhenas len śukar. Haj o Raj tholas paśa lenθe ande sakon ges kolen save sas xastravde.,custom,24,22,0.9166666666666666
Acts_3_1,"Petru şi Ioan se suiau împreună la Templu, la ceasul rugăciunii: era ceasul al nouălea.","Ande jekh ges, k‑o trin pal‑o mesmeri, kana ol manuśa ruginas pen k‑o Templo, o thaj o Joan ʒanas vi von kothe.",custom,15,22,1.4666666666666666
Acts_3_2,"Acolo era un om olog din naştere, care era dus şi pus în toate zilele la poarta Templului numită „Frumoasă”, ca să ceară de milă de la cei ce intrau în Templu.","Haj jekh manuś kaj sas bange punrenqo de kana biandilo sas andino thaj thodo sakon ges paśa jekh andar ol udara le Templosqe, kaj bućholas o Udar Śukar, te mangel pesqe katar ol manuśa kaj avenas k‑o Templo.",custom,32,38,1.1875
Acts_3_3,"Omul acesta, când a văzut pe Petru şi pe Ioan că voiau să intre în Templu, le-a cerut milostenie.","Kadava manuś, kana dikhlǎs le Petros thaj le Joanos ke den te ʒan and‑e bar le Templosqi, manglǎs lenθar love.",custom,19,20,1.0526315789473684
Acts_3_4,"Petru, ca şi Ioan, s-a uitat ţintă la el şi a zis: „Uită-te la noi!”",O Petru thaj o Joan dikhle vorta lesθe thaj o Petru phendǎs lesqe: — Dikh‑ta amenθe!,custom,15,16,1.0666666666666667
Acts_3_5,Şi el se uita la ei cu luare aminte şi aştepta să capete ceva de la ei.,"Thaj vov dikhlǎs lenθe miśto, aźukǎrindoj te den les vareso.",custom,17,10,0.5882352941176471
