ID,Text_ro,Text_rom
Acts_1_1,"Teofile, în cea dintâi carte a mea, am vorbit despre tot ce a început Isus să facă şi să înveţe pe oameni,","Teofilona, and‑o jekhto lil xramosardem pa sǎ so astardǎs o Isus te kerel haj te siklǎrel ⌞le manuśen⌟,"
Acts_1_2,"de la început până în ziua în care S-a înălţat la cer, după ce, prin Duhul Sfânt, dăduse poruncile Sale apostolilor pe care-i alesese.",ʒi and‑o ges kana sas lino k‑o ćeri. Le Somnale Duhosqe zorǎça dinǎs maj anglal porunke le apostolenqe saven alosardǎs len.
Acts_1_3,"După patima Lui, li S-a înfăţişat viu, prin multe dovezi, arătându-li-Se deseori timp de patruzeci de zile şi vorbind cu ei despre lucrurile privitoare la Împărăţia lui Dumnezeu.","Vov cïrdinǎsas but dukha haj mulosas, haj pala kodoja sikavdǎs butvar bute bukǎnça kerde Lesθar, ke si ʒivdo. Ande kola saranda gesa Vov sikavdilǎs lenqe butvar haj delas duma lença pala o le Devlesqo."
Acts_1_4,"Pe când Se afla cu ei, le-a poruncit să nu se depărteze de Ierusalim, ci să aştepte acolo făgăduinţa Tatălui, „pe care ”, le-a zis El, „aţi auzit-o de la Mine.","Jekhvar, kana xanas von khethanes, phendǎs lenqe: — Te na durǎren tumen katar o Jerusalim, ama te aźukeren kathe ʒi kana kerel pes so phendǎsas o Dad, sar aśunden Manθar."
Acts_1_5,"Căci Ioan a botezat cu apă, dar voi, nu după multe zile, veţi fi botezaţi cu Duhul Sfânt.”","Ke o Joan boldǎs and‑o pani, ama tume, na pala but gesa, avena bolde and‑o Somnal Duho."
Acts_1_6,"Deci apostolii, pe când erau strânşi laolaltă, L-au întrebat: „Doamne, în vremea aceasta ai de gând să aşezi din nou Împărăţia lui Israel?”","Kadja ke, and‑jekh ges kana von sas kidine khethanes, pućhle Les: — Raja, akana anesa palè o Thagaripen and‑o Israel sar kaj sas maj anglal?"
Acts_1_7,El le-a răspuns: „Nu este treaba voastră să ştiţi vremurile sau soroacele; pe acestea Tatăl le-a păstrat sub stăpânirea Sa.,Vov dinǎs lenqe anglal: — Numaj le Dades si Les zor te daśtil te phenel kana si o ges vaj o ćaso kana kerena pen kadala bukǎ. Tume na trebul te ʒanen len.
Acts_1_8,"Ci voi veţi primi o putere, când Se va coborî Duhul Sfânt peste voi, şi-Mi veţi fi martori în Ierusalim, în toată Iudeea, în Samaria şi până la marginile pământului.”","Ama primina zor kana xulǒla o Somnal Duho opral tumenθe haj ovena Mirre martorǎ and‑o Jerusalim, ande savorri Judea, and‑e reʒiunǎ Samaria haj ʒi k‑o gor la phuvǎqo."
Acts_1_9,"După ce a spus aceste lucruri, pe când se uitau ei la El, S-a înălţat la cer, şi un nor L-a ascuns din ochii lor.","Pala so phendǎs kadala, kana ol ućenićǎ dikhenas Lesθe, o Isus sas lino ⌞k‑o ćeri⌟ haj jekh noro garavdǎs Les lenqe jakhenθar."
Acts_1_10,"Şi cum stăteau ei cu ochii pironiţi spre cer pe când Se suia El, iată că li s-au arătat doi bărbaţi îmbrăcaţi în alb","Haj sar dikhenas von vorta k‑o ćeri, haj Vov vazdelas Pes, dikh ke sikavde pen lenqe duj murśa ande parne gada."
Acts_1_11,"şi au zis: „Bărbaţi galileeni, de ce staţi şi vă uitaţi spre cer? Acest Isus care S-a înălţat la cer din mijlocul vostru va veni în acelaşi fel cum L-aţi văzut mergând la cer.”","Von phende: — Murśalen andar e Galilea, sosqe beśen dikhindoj k‑o ćeri? O Isus kaj sas lino tumenθar k‑o ćeri, avela palpale sa kadja sar dikhlen Les ke ʒal k‑o ćeri. O Matia si alosardo and‑o than le Judasqo o Iskariotǎno"
Acts_1_12,"Atunci, ei s-au întors în Ierusalim din muntele numit al Măslinilor, care este lângă Ierusalim, departe cât un drum în ziua Sabatului.","Atunći, ol ućenićǎ boldine pen and‑e ćetatǎ Jerusalim katar o kaj bućhol o plaj le Mäslinenqo, kaj si paśal o Jerusalim, kam sode sas slobodo te ʒan ol judea and‑o ges le Sabatosqo."
Acts_1_13,"Când au ajuns acasă, s-au suit în odaia de sus, unde stăteau de obicei. Erau Petru, Iacov, Ioan, Andrei, Filip, Toma, Bartolomeu, Matei, Iacov, fiul lui Alfeu, Simon Zelotul şi Iuda, fiul lui Iacov.","Kana aresle, gele opre and‑e kamera e oprutni, kaj beśenas von. Sas ⌞kothe⌟: o , o Jakov, o Joan thaj o Andrej, o Filip thaj o Toma, o Bartolomej thaj o Matej, o Jakov, o ćhavo le Alfejosqo, o Simon o Zeloto thaj o Juda, o ćhavo le Jakovosqo."
Acts_1_14,"Toţi aceştia stăruiau cu un cuget în rugăciune şi în cereri, împreună cu femeile şi cu Maria, mama lui Isus, şi cu fraţii Lui.","Savorre kadala ruginas pen savorri vremǎ sar jekh, khethanes le ʒuvlǎnça, la Mariaça, e daj le Isusosqi haj Lesqe ."
Acts_1_15,"În zilele acelea, Petru s-a sculat în mijlocul fraţilor – numărul celor adunaţi laolaltă era de aproape o sută douăzeci – şi a zis:","Ande kodola gesa, kana sas kidine khethanes ol phrala haj ol phenǎ, paśe de jekh śel haj biś manuśa, o Petru uśtilǎs thaj phendǎs: —"
Acts_1_16,"„Fraţilor, trebuia să se împlinească Scriptura spusă de Duhul Sfânt mai înainte, prin gura lui David, despre Iuda, care a fost călăuza celor ce au prins pe Isus.","Phralalen haj phenǎlen, sas te kerel pes so phendǎs maj anglal o Somnal Duho pand‑o David, and‑e Skriptura, pala o Juda, savo sikavdǎs kaj si o Isus kodolenqe kaj astarde Les."
Acts_1_17,El era din numărul nostru şi era părtaş al aceleiaşi slujbe.,"O Juda sas andar amenθe, haj sas les sa kodoja sluźirǎ sar amari."
Acts_1_18,"Omul acesta a dobândit un ogor cu plata nelegiuirii lui, a căzut cu capul în jos, a plesnit în două prin mijloc şi i s-au vărsat toate măruntaiele.","Vov kindǎs jekh than le lovença kaj lilǎs len pesqe bićaćimaça. Pelǎs tele, lesqo per pharavdilo haj savorre porrǎ ćhordile andar lesθe."
Acts_1_19,"Lucrul acesta a ajuns aşa de cunoscut de toţi locuitorii din Ierusalim, încât ogorul acela a fost numit în limba lor: „Acheldama”, adică: „Ogorul sângelui”.","⌞Kadaja buki⌟ aresli kadja de prinʒardi savorre manuśenqe kaj beśen and‑o Jerusalim, ke kadale thanesqe thode lesqe o anav « Hakeldamah » ande penqi ćhib, kaj si: «O than le ratesqo»."
Acts_1_20,"În adevăr, în cartea Psalmilor este scris: ‘Locuinţa lui să rămână pustie şi nimeni să nu locuiască în ea!’ şi ‘Slujba lui s-o ia altul!’",And‑o lil le Psalmenqo si xramosardo: Te aćhel lesqo kher haj khonik te na beśel ande lesθe! haj Aver manuś te lel lesqo than k‑i sluźirǎ!
